Ticket_ID,Category,Priority,First_Response_Hours,Resolution_Hours,CSAT_Score,Customer_Message,Agent_Notes
TK001,Returns,High,0.5,2,2,I have been waiting 22 days for my refund. The return was delivered to Amazon but nothing has happened. I am a Prime member and this is unacceptable.,Escalated to refund team. Refund processed manually. Customer informed.
TK002,Returns,Critical,0.3,1,1,The return QR code I was given has been rejected at 4 different drop-off locations. I cannot return this item and the window is closing.,QR code was corrupted in system. New label issued. Customer confirmed successful drop-off.
TK003,Electronics,High,1,4,3,I returned my laptop 3 weeks ago and received a refund that is $200 less than what I paid. No explanation was provided.,Partial refund was a system error. Remaining balance refunded. Customer satisfied.
TK004,Returns,Critical,0.5,3,1,A third-party seller is refusing my return even though the product is defective. I have been waiting 25 days with no resolution.,Amazon intervened. A-to-z Guarantee claim filed. Full refund issued to customer.
TK005,Clothing,Medium,2,6,4,I am trying to return a jacket but the return option is completely greyed out in my account. I cannot figure out why.,Item was flagged incorrectly as non-returnable. Flag removed. Customer completed return online.
TK006,Electronics,High,0.5,2,2,My return was accepted and I dropped it off 18 days ago. I have not received my refund and support keeps telling me it is being processed.,Item was stuck in the returns warehouse scan queue. Manually cleared. Refund issued.
TK007,Returns,High,1,5,2,I returned two items in the same parcel but only received a refund for one. The second item refund has not appeared after 2 weeks.,Second item barcode was not scanned at warehouse. Refund issued manually after investigation.
TK008,Electronics,Critical,0.3,1,1,The seller on a third-party listing is claiming I damaged the product during the return. I packaged it perfectly. They are refusing the refund.,Photos reviewed. Seller claim rejected. Full refund processed under buyer protection policy.
TK009,Home & Kitchen,Medium,3,8,3,I need to return an oversized item but the return system only offers drop-off options which do not work for a large appliance.,Scheduled courier pickup arranged for oversized item. Customer confirmed pickup date.
TK010,Returns,High,0.5,2,5,Just wanted to say the agent who helped me yesterday was absolutely brilliant. My refund issue was sorted in minutes. Thank you.,Positive feedback logged. Agent recognised.
TK011,Electronics,High,1,6,2,I received a partial refund after returning my phone. The amount is $150 short and I have no idea why. No email explanation was sent.,Refund breakdown sent to customer. System calculation error identified and corrected. Full amount refunded.
TK012,Clothing,Medium,2,4,4,The return drop-off location near my house no longer accepts Amazon returns but the app still shows it as active. Wasted a trip.,Location data updated in system. Customer directed to nearest active drop-off point.
TK013,Returns,Critical,0.3,1,1,A third-party seller told me my 30-day return window expired. The item only arrived 5 days ago due to a shipping delay. This is not fair.,Return window extended to account for shipping delay. Seller notified of policy. Return approved.
TK014,Electronics,High,0.5,3,2,I have escalated my refund 3 times. Every time I contact support they say it is being processed but nothing happens. I want to speak to a manager.,Senior agent assigned. Root cause was a payment processing hold. Refund released. Manager called customer directly.
TK015,Home & Kitchen,Medium,2,5,3,The return instructions for my large coffee machine were very confusing. I almost sent it without proper packaging and could have voided my return.,Improved return instructions sent to customer. Feedback escalated to UX team for packaging guidance review.
TK016,Clothing,Low,4,12,4,My refund arrived but it was $5 short. I think it might be a rounding error.,Pricing rounding error confirmed. $5 credit applied to account. Customer thanked.
TK017,Electronics,Critical,0.3,2,1,I returned a $900 laptop to a third-party seller 4 weeks ago. The seller has gone silent. I have lost nearly $1000 and no one is helping me.,A-to-z Guarantee claim escalated urgently. Seller account under review. Full refund issued immediately.
TK018,Returns,High,0.5,3,3,The return label I printed at home would not scan at the drop-off point. The staff there could not help and I had to drive to a UPS store.,Label format incompatibility identified. Digital QR code issued. Customer completed return successfully.
TK019,Clothing,Medium,2,6,4,I returned a dress a week ago and the refund has not come back to my original payment method. It shows as store credit instead.,Refund method set incorrectly in system. Corrected to original payment method. Customer confirmed receipt.
TK020,Electronics,High,1,4,2,I ordered a refurbished phone and it arrived in worse condition than described. The seller is refusing the return saying it meets the condition guidelines.,Condition guidelines reviewed. Seller claim rejected. Replacement dispatched. Return collected.
TK021,Home & Kitchen,Medium,3,7,3,I have been trying to return a blender for 10 days but the return option keeps showing a system error when I try to submit.,Backend return portal error identified. Engineering ticket raised. Manual return processed for customer.
TK022,Returns,High,0.5,2,5,Everything went perfectly with my return. The QR code worked first time and my refund arrived the next day. Brilliant.,Positive feedback logged.
TK023,Electronics,Critical,0.3,1,1,A third-party seller has rejected 2 return requests for a defective tablet. I paid $650 and have no working product and no refund.,A-to-z Guarantee filed. Seller suspended pending review. Immediate full refund issued to customer.
TK024,Clothing,Low,4,10,4,Just checking when my return refund will arrive. I returned the item 5 days ago.,Refund on track. Expected within 2 business days. Customer updated.
TK025,Returns,High,1,5,2,I dropped off my return 3 weeks ago and the tracking still shows it as in transit. My refund window will close before it is marked as received.,Return traced. Lost in transit at carrier. Immediate refund issued without requiring return receipt.
